name,data_type,bit_length,bit_offset
ENG_LED_HDR_SCID,uint,8,48
ENG_LED_HDR_FILL1,uint,1,56
ENG_LED_HDR_FLASH_BLOCK,uint,15,57
ENG_LED_HDR_FILL2,uint,2,72,
ENG_LED_HDR_TIME_QUALITY,uint,2,74
ENG_LED_HDR_USEC,uint,20,76
ENG_LED_HDR_SEC,uint,32,96
LED1_ACTIVE_STATE,uint,1,128
LED_CFG_NUM_PLS,uint,7,129
LED2_ACTIVE_STATE,uint,1,136
LED_CFG_PLS_DLY,uint,7,137
LED_CFG_PLS_WIDTH,uint,16,144
LED1_AVG_CURRENT,fill,4064,160
LED2_AVG_CURRENT,fill,4064,4224
LED_SAMPLE_COUNT,fill,1016,8288
LED_PLS_START_SEC,uint,32,9304
LED_PLS_START_USEC,uint,20,9336
LED_PLS_START_RSVD,uint,12,9356
LED_PLS_END_SEC,uint,32,9368
LED_PLS_END_USEC,uint,20,9400
LED_PLS_END_RSVD,uint,12,9420
ENG_LED_PADDING,uint,24,9432
ENG_LED_CKSUM,uint,16,9456
