name,data_type,bit_length
ENG_XTS_HDR_SCID,uint,8
ENG_XTS_HDR_FILL1,fill,1
ENG_XTS_HDR_FLASH_BLOCK,uint,15
ENG_XTS_HDR_FILL2,fill,2
ENG_XTS_HDR_TIME_QUALITY,uint,2
ENG_XTS_HDR_USEC,uint,20
ENG_XTS_HDR_SEC,uint,32
SBTX_POWER_AUTO,uint,32
SBTX_SYM_RATE,float,64
SBTX_LINK_STATE_NAME,str,160
SBTX_FLEN,fill,32
SBTX_MOD_TYPE,str,160
SBTX_SPREAD_CODE,fill,32
SBTX_SPREAD_FAMILY,str,160
SBTX_SEARCH_RANGE,float,64
SBTX_LINK_STATE,fill,32
SBTX_RATE,float,64
SBTX_LINE_CODE,str,160
SBTX_HD_STATE,fill,32
SBTX_SUBFREQ,float,64
SBTX_PORT,fill,32
SBTX_HD_THRESHOLD,fill,32
SBTX_ASM_BYPASS,uint,32
SBTX_COMPRESSION,float,64
SBTX_IMOD,float,64
SBTX_POWER_VALID,uint,32
SBTX_SPACECRAFT_ID,fill,32
SBTX_FILT_CUTOFF,float,64
SBTX_IDLE_PATTERN,uint,32
SBTX_HD_WAIT,fill,32
SBTX_POWER_SERVO,uint,32
SBTX_SCRAM,str,160
SBTX_GAIN_VALID,uint,32
SBTX_TYPE,str,160
SBTX_ORATE,float,64
SBTX_OCODE,str,160
SBTX_FS,float,64
SBTX_AUTO_TIMEOUT,fill,32
SBTX_POWER,float,64
SBTX_FORMAT,str,160
SBTX_HD_ENABLE,uint,32
SBTX_AUTO,uint,32
SBTX_PRE_LENGTH,fill,32
SBTX_IDLE_TIMEOUT,fill,32
SBTX_ICODE,str,160
SBTX_SERVO,uint,32
SBTX_GAIN,float,64
SBTX_TEST_MODE,fill,32
SBTX_IDLE_MODE,str,160
SBTX_IDLE_ENABLED,uint,32
SBTX_FREQ,float,64
SBTX_FILT_TYPE,str,160
SBTX_IDLE_COUNT,fill,32
SBTX_SRC,str,160
SBTX_INVERSION,float,64
SBTX_AUTO_PAUSE,uint,32
SBTX_ASM_ATTACH,uint,32
SBTX_OPEN_COUNT,fill,32
SBTX_SPREAD_FACTOR,fill,32
SBTX_BANDWIDTH,float,64
SBTX_IRATE,float,64
SBTX_INTERLEAVE,uint,32
SBTX_CMAP,str,160
SBTX_COMPRESSION_VALID,uint,32
SBTX_PRE_PACKET,str,160
SBTX_AUTO_PAUSE_DELAY,fill,32
SBTX_ASM,str,160
XBTX_POWER_AUTO,uint,32
XBTX_SYM_RATE,float,64
XBTX_LINK_STATE_NAME,str,160
XBTX_FLEN,fill,32
XBTX_MOD_TYPE,str,160
XBTX_SPREAD_CODE,fill,32
XBTX_SPREAD_FAMILY,str,160
XBTX_SEARCH_RANGE,float,64
XBTX_LINK_STATE,fill,32
XBTX_RATE,float,64
XBTX_LINE_CODE,str,160
XBTX_HD_STATE,fill,32
XBTX_SUBFREQ,float,64
XBTX_PORT,fill,32
XBTX_HD_THRESHOLD,fill,32
XBTX_ASM_BYPASS,uint,32
XBTX_COMPRESSION,float,64
XBTX_IMOD,float,64
XBTX_POWER_VALID,uint,32
XBTX_SPACECRAFT_ID,fill,32
XBTX_FILT_CUTOFF,float,64
XBTX_IDLE_PATTERN,uint,32
XBTX_HD_WAIT,fill,32
XBTX_POWER_SERVO,uint,32
XBTX_SCRAM,str,160
XBTX_GAIN_VALID,uint,32
XBTX_TYPE,str,160
XBTX_ORATE,float,64
XBTX_OCODE,str,160
XBTX_FS,float,64
XBTX_AUTO_TIMEOUT,fill,32
XBTX_POWER,float,64
XBTX_FORMAT,str,160
XBTX_HD_ENABLE,uint,32
XBTX_AUTO,uint,32
XBTX_PRE_LENGTH,fill,32
XBTX_IDLE_TIMEOUT,fill,32
XBTX_ICODE,str,160
XBTX_SERVO,uint,32
XBTX_GAIN,float,64
XBTX_TEST_MODE,fill,32
XBTX_IDLE_MODE,str,160
XBTX_IDLE_ENABLED,uint,32
XBTX_FREQ,float,64
XBTX_FILT_TYPE,str,160
XBTX_IDLE_COUNT,fill,32
XBTX_SRC,str,160
XBTX_INVERSION,float,64
XBTX_AUTO_PAUSE,uint,32
XBTX_ASM_ATTACH,uint,32
XBTX_OPEN_COUNT,fill,32
XBTX_SPREAD_FACTOR,fill,32
XBTX_BANDWIDTH,float,64
XBTX_IRATE,float,64
XBTX_INTERLEAVE,uint,32
XBTX_CMAP,str,160
